2025-02-02 18:09:34,961: 'j'
2025-02-02 18:09:35,001: 'f'
2025-02-02 18:09:35,121: 'j'
2025-02-02 18:09:35,209: 'a'
2025-02-02 18:09:35,561: Key.backspace
2025-02-02 18:09:35,665: Key.backspace
2025-02-02 18:09:35,825: Key.backspace
2025-02-02 18:09:36,001: Key.backspace
2025-02-02 18:09:36,401: 'f'
2025-02-02 18:09:36,625: 'f'
2025-02-02 18:09:36,777: 'f'
2025-02-02 18:09:36,849: 'i'
2025-02-02 18:09:36,945: 'a'
2025-02-02 18:09:37,273: Key.backspace
2025-02-02 18:09:37,274: '-'
2025-02-02 18:09:37,393: Key.backspace
2025-02-02 18:09:37,505: Key.backspace
2025-02-02 18:09:37,649: Key.backspace
2025-02-02 18:09:37,849: Key.space
2025-02-02 18:09:38,113: Key.backspace
2025-02-02 18:09:38,257: Key.backspace
2025-02-02 18:09:38,401: Key.backspace
2025-02-02 18:09:38,481: Key.space
2025-02-02 18:09:38,641: 'f'
2025-02-02 18:09:38,665: Key.backspace
2025-02-02 18:09:38,769: 'a'
2025-02-02 18:09:38,825: Key.backspace
2025-02-02 18:09:38,905: 'f'
2025-02-02 18:09:39,129: 'f'
2025-02-02 18:09:39,417: Key.backspace
2025-02-02 18:09:39,665: Key.alt
2025-02-02 18:09:39,777: Key.tab
2025-02-02 18:09:40,569: Key.alt
2025-02-02 18:09:40,625: Key.tab
2025-02-02 18:10:12,881: Key.ctrl
2025-02-02 18:10:13,129: 'c'
2025-02-02 18:16:53,682: Key.enter
2025-02-02 18:16:54,666: Key.backspace
2025-02-02 18:17:05,378: 'f'
2025-02-02 18:17:05,426: 'd'
2025-02-02 18:17:05,594: 'f'
2025-02-02 18:17:07,498: Key.alt
2025-02-02 18:17:07,666: Key.tab
2025-02-02 18:17:08,258: Key.alt
2025-02-02 18:17:08,314: Key.tab
2025-02-02 18:17:08,890: Key.ctrl
2025-02-02 18:17:09,242: 'c'
